category,dates,value
최고기온(℃),1963-09-09,29.6
최저기온(℃),1963-09-09,18.9
최고기온(℃),1963-09-10,30.2
최저기온(℃),1963-09-10,18.7
최고기온(℃),1963-09-11,30.1
최저기온(℃),1963-09-11,20.4
최고기온(℃),1963-09-12,29.6
최저기온(℃),1963-09-12,18.6
최고기온(℃),1963-09-13,30.0
최저기온(℃),1963-09-13,18.2
최고기온(℃),1963-09-14,28.6
최저기온(℃),1963-09-14,18.7
최고기온(℃),1963-09-15,24.1
최저기온(℃),1963-09-15,19.0
최고기온(℃),1963-09-16,24.4
최저기온(℃),1963-09-16,16.5
최고기온(℃),1963-09-17,25.6
최저기온(℃),1963-09-17,16.1
최고기온(℃),1963-09-18,24.4
최저기온(℃),1963-09-18,15.8
최고기온(℃),1963-09-19,25.8
최저기온(℃),1963-09-19,13.6
최고기온(℃),1963-09-20,24.9
최저기온(℃),1963-09-20,16.6
최고기온(℃),1963-09-21,23.3
최저기온(℃),1963-09-21,14.4
최고기온(℃),1963-09-22,23.0
최저기온(℃),1963-09-22,11.6
최고기온(℃),1963-09-23,25.5
최저기온(℃),1963-09-23,11.2
최고기온(℃),1963-09-24,17.8
최저기온(℃),1963-09-24,13.9
최고기온(℃),1963-09-25,21.4
최저기온(℃),1963-09-25,12.0
최고기온(℃),1963-09-26,20.4
최저기온(℃),1963-09-26,13.2
최고기온(℃),1963-09-27,21.8
최저기온(℃),1963-09-27,10.4
최고기온(℃),1963-09-28,23.6
최저기온(℃),1963-09-28,10.6
최고기온(℃),1963-09-29,22.2
최저기온(℃),1963-09-29,11.8
